nzgd,E,N,qc1Ncs,manifest_S,manifest_F,pga_S,pga_F,lnpgaF,q
103,1573098.62580647,5181190.07375269,80.01556453396606,0,0,22.46,79.92,4.381026134340298,80.01556453396606
110,1573171.13698474,5181557.65205328,131.74057015255576,0,0,22.46,70.66,4.257879641930999,131.74057015255576
111,1573403.45473895,5181583.97787612,134.2912381321562,0,0,22.46,73.3,4.294560608892605,134.2912381321562
130,1573098.45575028,5181194.42204824,113.64872863518352,0,0,22.46,79.92,4.381026134340298,113.64872863518352
136,1573766.53904292,5181304.85675736,134.15352640281813,0,0,22.24,73.3,4.294560608892605,134.15352640281813
280,1573678.77838744,5183942.60388266,77.24741325697389,0,0,22.46,59.55,4.0868162958013095,77.24741325697389
284,1573681.08475786,5183528.51223267,309.3810885327264,0,0,22.46,59.55,4.0868162958013095,309.3810885327264
287,1574310.74450838,5183287.96276655,51.0,0,1,22.59,64.24,4.162626069638506,51.0
306,1575777.23923919,5184023.37335171,58.22948444192999,0,1,22.03,69.93,4.247494741715776,58.22948444192999
330,1575778.77863181,5184023.16346563,60.48530462021888,0,1,22.03,69.93,4.247494741715776,60.48530462021888
533,1572311.38869861,5182134.51480129,277.5636154763204,0,0,22.52,64.67,4.169297415458502,277.5636154763204
539,1572543.06748708,5182152.4738373,36.6198052824827,0,0,22.46,64.67,4.169297415458502,36.6198052824827
577,1572311.01884201,5182134.56477224,210.81312262618496,0,0,22.52,64.67,4.169297415458502,210.81312262618496
582,1572542.65763178,5182153.06359749,82.31598617728842,0,0,22.46,64.67,4.169297415458502,82.31598617728842
717,1579212.13255284,5178865.58814121,95.04032531849523,0,0,20.95,122.0,4.804021044733257,95.04032531849523
1082,1574334.76136077,5182427.43750513,202.5729460703556,0,0,22.24,68.54,4.2274175164464625,202.5729460703556
1086,1573725.51505495,5181312.16280813,74.42936800819463,0,0,22.46,73.3,4.294560608892605,74.42936800819463
1090,1573693.47064286,5181572.3799659,66.99931011667479,0,0,22.46,73.3,4.294560608892605,66.99931011667479
1128,1573766.7489408,5181305.55648841,161.07545030207675,0,0,22.24,73.3,4.294560608892605,161.07545030207675
1145,1568239.45682041,5181460.82586222,324.87,0,0,24.2,39.36,3.6727500721840527,324.87
1400,1569410.69363178,5181224.17282,295.97,0,0,22.71,50.88,3.9294699190318667,295.97
5158,1574950.01356975,5182779.5561198,75.55027271547817,0,0,22.59,76.29,4.334541868102138,75.55027271547817
5359,1570506.47210324,5180406.7733843,45.416986501911154,0,0,21.29,57.63,4.054043265448575,45.416986501911154
5360,1570507.0359186,5180405.70481464,30.46106283467885,0,0,21.29,57.63,4.054043265448575,30.46106283467885
5361,1570471.05122627,5180396.68415161,104.62817327415524,0,0,21.29,57.63,4.054043265448575,104.62817327415524
5362,1570558.55979334,5179169.67044246,17.265817206054443,0,0,21.29,65.49,4.181897459229962,17.265817206054443
7997,1574334.79546106,5182422.79232838,57.529756939579016,0,0,22.24,68.54,4.2274175164464625,57.529756939579016
8565,1575235.72284401,5183112.64119593,56.65981129788052,0,0,22.03,76.29,4.334541868102138,56.65981129788052
8566,1575920.44935475,5183185.22689711,122.14499999999998,0,0,22.03,69.93,4.247494741715776,122.14499999999998
8567,1574948.54404296,5182784.2642359,66.13220069605316,0,0,22.59,76.29,4.334541868102138,66.13220069605316
14934,1575917.38065926,5183181.36835383,174.44374550145633,0,0,22.03,69.93,4.247494741715776,174.44374550145633
15827,1569408.91440288,5181221.5637632,108.035,0,0,22.71,50.88,3.9294699190318667,108.035
19159,1568237.9674619,5181458.68662756,765.0,0,0,24.2,39.36,3.6727500721840527,765.0
44283,1575236.64,5183109.5,105.34189882441568,0,1,22.03,76.29,4.334541868102138,105.34189882441568
55460,1573683.0,5183526.0,146.40623363747366,0,0,22.46,59.55,4.0868162958013095,146.40623363747366
55461,1573694.0,5181572.0,116.44757630747084,0,0,22.46,73.3,4.294560608892605,116.44757630747084
55497,1573163.0,5181547.0,52.181720014733386,0,0,22.46,70.66,4.257879641930999,52.181720014733386
55498,1573688.0,5181357.0,130.71784046324308,0,1,22.46,73.3,4.294560608892605,130.71784046324308
55499,1573401.0,5181589.0,156.86582143249498,0,0,22.46,73.3,4.294560608892605,156.86582143249498
55500,1579209.0,5178864.0,140.22167994712038,0,0,20.95,122.0,4.804021044733257,140.22167994712038
55501,1579212.13255284,5178865.58814121,121.88914934634988,0,0,20.95,122.0,4.804021044733257,121.88914934634988
55502,1579212.13255284,5178865.58814121,124.5788936379373,0,0,20.95,122.0,4.804021044733257,124.5788936379373
55503,1573678.77838744,5183942.60388266,111.25027816568686,0,0,22.46,59.55,4.0868162958013095,111.25027816568686
55504,1573681.08475786,5183528.51223267,115.49766740020998,0,0,22.46,59.55,4.0868162958013095,115.49766740020998
55505,1574310.74450838,5183287.96276655,61.52147242712869,0,1,22.59,64.24,4.162626069638506,61.52147242712869
55506,1579212.13255284,5178865.58814121,106.94121517949893,0,0,20.95,122.0,4.804021044733257,106.94121517949893
55507,1573171.13698474,5181557.65205328,83.20658327532206,0,0,22.46,70.66,4.257879641930999,83.20658327532206
55508,1573403.45473895,5181583.97787612,76.31238041916767,0,0,22.46,73.3,4.294560608892605,76.31238041916767
55509,1573681.08475786,5183528.51223267,87.13684656880348,0,0,22.46,59.55,4.0868162958013095,87.13684656880348
55510,1574310.74450838,5183287.96276655,52.897812807698166,0,1,22.59,64.24,4.162626069638506,52.897812807698166
55511,1573725.51505495,5181312.16280813,114.16397333883688,0,0,22.46,73.3,4.294560608892605,114.16397333883688
55512,1573678.77838744,5183942.60388266,70.96357357928802,0,0,22.46,59.55,4.0868162958013095,70.96357357928802
55513,1573678.77838744,5183942.60388266,77.86041449671603,0,0,22.46,59.55,4.0868162958013095,77.86041449671603
55514,1574310.74450838,5183287.96276655,55.95673005804844,0,1,22.59,64.24,4.162626069638506,55.95673005804844
55515,1569456.97149606,5183379.20164108,50.42792374122368,0,1,24.8,36.82,3.6060411758049318,50.42792374122368
55516,1569456.27177594,5183378.80177495,50.94009114006821,0,1,24.8,36.82,3.6060411758049318,50.94009114006821
55517,1569455.2721793,5183378.10201512,46.868412973637376,0,1,24.8,36.82,3.6060411758049318,46.868412973637376
55518,1569451.27350334,5183385.79898053,52.31896358777316,0,1,24.8,36.82,3.6060411758049318,52.31896358777316
55519,1569450.6737448,5183385.39911703,51.16102035028021,0,1,24.8,36.82,3.6060411758049318,51.16102035028021
55520,1569449.67414814,5183384.6993572,50.39906474612318,0,1,24.8,36.82,3.6060411758049318,50.39906474612318
55521,1569439.37786125,5183393.49573942,47.08878309653784,0,1,24.8,36.82,3.6060411758049318,47.08878309653784
55522,1569437.97840989,5183393.09585497,45.53209824435441,0,1,24.8,36.82,3.6060411758049318,45.53209824435441
55523,1569437.67854163,5183392.49607539,47.686545639865074,0,1,24.8,36.82,3.6060411758049318,47.686545639865074
55524,1576724.14953563,5182204.33364568,127.46400431156012,0,1,21.67,93.63,4.539350844950798,127.46400431156012
55525,1576717.45191272,5182218.12800687,178.10687501498242,0,1,21.67,93.63,4.539350844950798,178.10687501498242
